student_name,"skills",years_of_experience,cgpa,projects,label
Rahul Yadav,"IoT, MATLAB, Signal Processing",0.8,6.77,Wireless Communication Model,0
Vikram Reddy,"C Programming, MATLAB, Signal Processing",1.5,6.48,Wireless Communication Model,0
Aditya Verma,"Verilog, MATLAB, PCB Design",1.3,7.3,Wireless Communication Model,0
Kiran Reddy,"PCB Design, VLSI Design, MATLAB",0.1,6.37,AI Based Fault Detection,0
Vihaan Verma,"C Programming, VLSI Design, IoT",1.8,6.15,FPGA Based Design,0
Kiran Sharma,"Verilog, VLSI Design, IoT",0.2,6.9,Wireless Communication Model,0
Kiran Naidu,"C Programming, Signal Processing, Verilog",0.3,5.52,Signal Analyzer,0
Sai Singh,"VLSI Design, C Programming, Signal Processing",0.1,6.33,Wireless Communication Model,0
Rahul Yadav,"PCB Design, C Programming, VLSI Design",1.8,5.35,Smart Home Automation,0
Kiran Yadav,"PCB Design, C Programming, VLSI Design",0.2,5.23,Image Processing System,0
Krishna Gupta,"IoT, Signal Processing, PCB Design",1.6,6.32,FPGA Based Design,0
Vihaan Singh,"Signal Processing, MATLAB, C Programming",0.1,5.55,Image Processing System,0
Rahul Verma,"MATLAB, VLSI Design, PCB Design",1.1,7.32,IoT Weather Station,0
Sai Reddy,"MATLAB, Signal Processing, Verilog",0.4,6.64,Signal Analyzer,0
Sai Reddy,"C Programming, Signal Processing, Verilog",0,6.19,Smart Home Automation,0
Rohan Verma,"MATLAB, IoT, C Programming",1.1,6.83,IoT Weather Station,0
Rahul Singh,"IoT, MATLAB, Signal Processing",1.5,5.73,Robotics Arm,0
Rohan Patel,"VLSI Design, Verilog, PCB Design",1.2,6.16,Signal Analyzer,0
Vihaan Yadav,"Signal Processing, PCB Design, MATLAB",1.5,5.89,AI Based Fault Detection,0
Vikram Kumar,"PCB Design, Signal Processing, MATLAB",0.3,7.29,Wireless Communication Model,0
Kiran Sharma,"IoT, MATLAB, C Programming",1.6,7.24,IoT Weather Station,0
Rohan Singh,"IoT, MATLAB, Signal Processing",0.4,6.55,Robotics Arm,0
Arjun Naidu,"MATLAB, VLSI Design, IoT",0.1,7.34,Signal Analyzer,0
Rahul Sharma,"Verilog, VLSI Design, IoT",1.1,5.69,Signal Analyzer,0
Rohan Naidu,"MATLAB, IoT, PCB Design",0.5,5.58,Smart Home Automation,0
Krishna Kumar,"VLSI Design, IoT, Signal Processing",1.6,6.56,FPGA Based Design,0
Aarav Patel,"VLSI Design, IoT, C Programming",0.3,6.37,AI Based Fault Detection,0
Aditya Yadav,"Signal Processing, PCB Design, IoT",0.1,7.26,Robotics Arm,0
Vikram Kumar,"MATLAB, VLSI Design, IoT",1,5.45,IoT Weather Station,0
Aditya Yadav,"MATLAB, VLSI Design, IoT",0.5,5.01,FPGA Based Design,0
Arjun Singh,"C Programming, VLSI Design, PCB Design",1.1,6.11,FPGA Based Design,0
Arjun Reddy,"Signal Processing, Verilog, VLSI Design",1,7.32,Robotics Arm,0
Sai Gupta,"C Programming, Signal Processing, IoT",1,7.32,Image Processing System,0
Vihaan Patel,"Verilog, IoT, Signal Processing",0.2,5.23,Signal Analyzer,0
Rahul Patel,"C Programming, VLSI Design, Signal Processing",0.6,6.42,Image Processing System,0
Rahul Verma,"Verilog, VLSI Design, Signal Processing",0,5.29,AI Based Fault Detection,0
Rohan Reddy,"C Programming, IoT, Verilog",0.9,6.36,Wireless Communication Model,0
Krishna Reddy,"Signal Processing, PCB Design, IoT",1.6,5.44,IoT Weather Station,1
Kiran Patel,"VLSI Design, MATLAB, PCB Design",1.6,6.14,Signal Analyzer,0
Vihaan Yadav,"C Programming, MATLAB, VLSI Design",1.4,7.27,IoT Weather Station,0
Kiran Patel,"Signal Processing, MATLAB, Verilog",0.8,5.52,Robotics Arm,0
Sai Patel,"PCB Design, IoT, MATLAB",0.3,6.36,Robotics Arm,0
Vikram Reddy,"MATLAB, Signal Processing, PCB Design",1.9,5.37,Signal Analyzer,0
Aarav Sharma,"PCB Design, IoT, Verilog",0.2,6.05,IoT Weather Station,0
Aarav Gupta,"PCB Design, VLSI Design, Verilog",1.3,7.05,Signal Analyzer,0
Rahul Yadav,"PCB Design, C Programming, MATLAB",1.4,5.15,IoT Weather Station,0
Kiran Kumar,"VLSI Design, IoT, MATLAB",2,5.25,AI Based Fault Detection,0
Aditya Singh,"C Programming, Signal Processing, PCB Design",1.3,5.95,IoT Weather Station,0
Krishna Patel,"Signal Processing, Verilog, MATLAB",1.4,5.34,AI Based Fault Detection,0
Sai Naidu,"VLSI Design, Verilog, PCB Design",1.7,5.81,Robotics Arm,0
Kiran Kumar,"PCB Design, C Programming, IoT",1.2,6.43,AI Based Fault Detection,0
Krishna Patel,"MATLAB, C Programming, IoT",0.9,6.83,Wireless Communication Model,0
Rohan Singh,"VLSI Design, PCB Design, Signal Processing",0.3,6.8,IoT Weather Station,0
Aarav Patel,"Verilog, C Programming, Signal Processing",0.6,6.41,Robotics Arm,0
Arjun Naidu,"Signal Processing, VLSI Design, IoT",1.6,6.9,IoT Weather Station,0
Kiran Verma,"Verilog, IoT, C Programming",1.6,7.05,IoT Weather Station,0
Vikram Singh,"Signal Processing, VLSI Design, C Programming",0.6,7.02,FPGA Based Design,0
Sai Sharma,"C Programming, Verilog, MATLAB",0.6,5.3,Image Processing System,0
Kiran Yadav,"Verilog, IoT, C Programming",1.5,5.17,Wireless Communication Model,1
Arjun Yadav,"Verilog, IoT, PCB Design",0.3,6.9,Robotics Arm,0
Aarav Iyer,"PCB Design, MATLAB, VLSI Design",0.2,6.03,FPGA Based Design,0
Krishna Reddy,"MATLAB, VLSI Design, Verilog",1.8,5.53,Wireless Communication Model,0
Kiran Iyer,"PCB Design, MATLAB, C Programming",0.8,6.48,Image Processing System,0
Vihaan Sharma,"Verilog, C Programming, MATLAB",0,5.88,Robotics Arm,0
Krishna Gupta,"PCB Design, VLSI Design, C Programming",1,7.25,Wireless Communication Model,0
Kiran Iyer,"MATLAB, Verilog, IoT",0.7,6.08,FPGA Based Design,0
Arjun Kumar,"Signal Processing, C Programming, PCB Design",0.7,5.35,Smart Home Automation,0
Arjun Patel,"PCB Design, Verilog, VLSI Design",0.8,6.18,Robotics Arm,0
Rahul Reddy,"Signal Processing, MATLAB, VLSI Design",1.8,6.52,Wireless Communication Model,0
Kiran Reddy,"C Programming, IoT, MATLAB",0.2,6.47,Signal Analyzer,0
Rahul Singh,"VLSI Design, MATLAB, PCB Design",1.4,5.01,Signal Analyzer,0
Rohan Patel,"MATLAB, Verilog, VLSI Design",0.1,5.85,FPGA Based Design,0
Sai Yadav,"Signal Processing, C Programming, VLSI Design",1.9,7.27,IoT Weather Station,0
Krishna Yadav,"PCB Design, Signal Processing, VLSI Design",0.1,6.91,Robotics Arm,0
Vikram Naidu,"PCB Design, C Programming, Signal Processing",0.5,6.72,AI Based Fault Detection,0
Aarav Sharma,"MATLAB, C Programming, Signal Processing",1.5,5.23,Signal Analyzer,0
Rohan Gupta,"C Programming, Signal Processing, PCB Design",0.6,5.55,AI Based Fault Detection,0
Aditya Yadav,"Signal Processing, PCB Design, VLSI Design",0.6,5.14,AI Based Fault Detection,0
Arjun Reddy,"C Programming, Verilog, VLSI Design",1.8,5.15,FPGA Based Design,0
Sai Sharma,"Signal Processing, IoT, PCB Design",1.7,5.11,Image Processing System,0
Aditya Singh,"Verilog, C Programming, PCB Design",1.6,6.95,Signal Analyzer,0
Vihaan Patel,"IoT, C Programming, Verilog",1.9,6.92,AI Based Fault Detection,0
Rahul Kumar,"IoT, C Programming, PCB Design",1.7,5.73,IoT Weather Station,0
Aditya Gupta,"IoT, VLSI Design, Verilog",1.9,5.64,Image Processing System,0
Rohan Sharma,"C Programming, MATLAB, VLSI Design",0.8,6.79,Image Processing System,0
Rohan Sharma,"MATLAB, VLSI Design, PCB Design",1.5,7.18,Robotics Arm,0
Aarav Gupta,"Signal Processing, MATLAB, Verilog",1.3,5.37,Wireless Communication Model,0
Arjun Gupta,"C Programming, Signal Processing, IoT",0.9,6.8,Wireless Communication Model,0
Vihaan Kumar,"VLSI Design, Signal Processing, PCB Design",1.3,7.18,Image Processing System,1
Krishna Iyer,"IoT, VLSI Design, Signal Processing",0.9,7.11,AI Based Fault Detection,0
Arjun Gupta,"C Programming, MATLAB, IoT",1.1,5.74,FPGA Based Design,0
Rohan Sharma,"VLSI Design, Signal Processing, PCB Design",1.1,6.29,FPGA Based Design,0
Vikram Yadav,"C Programming, IoT, MATLAB",1.7,5.64,Signal Analyzer,0
